,0
0,Acura
1,Aeolus
2,Agrale
3,Aleko
4,Alfa romeo
5,Aro
6,Asia
7,Asia camion
8,Audi
9,Autobianchi
10,Baic
11,Belavtomaz
12,Bertone
13,Blac
14,Bmw
15,Changan
16,Chery
17,Chevrolet
18,Chevrolet cam.
19,Chrysler
20,Citroen
21,Dacia
22,Daewoo
23,Daihatsu
24,Daihatsu camion
25,Dfm
26,Dfsk
27,Dimex
28,Ds automobiles
29,Eniak
30,F.e.r.e.s.a.
31,Ferrari
32,Fiat
33,Ford
34,Ford camion
35,Foton
36,G.a.z.
37,Geely
38,Great wall
39,Grosspal
40,Ham-jiang
41,Haval
42,Heibao
43,Hino
44,Honda
45,Hummer
46,Hyundai
47,International
48,Isuzu
49,Iveco
50,Izh
51,Jac motors
52,Jaguar
53,Jinbei
54,Jmc
55,Kamaz
56,Kenworth
57,Kia
58,Kia camion
59,Lada
60,Lancia
61,Liaz
62,Lifan
63,Mack
64,Maestro
65,Mahindra
66,Maserati
67,Mazda
68,Mazda camion
69,Mclaren
70,Mercedes benz
71,Mercedes benz c
72,Metro
73,Mini cooper
74,Mitsubishi
75,Mitsubishi cam.
76,Nakai (changan)
77,Nissan
78,Nissan camion
79,Opel
80,Peugeot
81,Piaggio
82,Polonez
83,Pontiac
84,Porsche
85,Proton
86,Ranquel
87,Renault
88,Renault camion
89,Rolls royce
90,Rover-land rov.
91,Saab
92,Santana
93,Sanxing
94,Scania
95,Seat
96,Sero electric
97,Shineray
98,Skoda
99,Smart
100,Soueast
101,Space
102,Star (3-star)
103,Subaru
104,Suzuki
105,Tata
106,Tata camion
107,Tavria
108,Toyota
109,Uaz
110,Volkswagen
111,Volkswagen cam.
112,Volvo
113,Volvo camion
114,Wuling motors
115,Yantai
116,Yuejin
117,Zanella
